Product,Month,Sales
ProductA,2019-03-01,608
ProductA,2019-04-01,6838
ProductA,2019-05-01,12195
ProductA,2019-06-01,26292
ProductA,2019-07-01,31547
ProductA,2019-08-01,29223
ProductA,2019-09-01,17732
ProductA,2019-10-01,18103
ProductA,2019-11-01,19108
ProductA,2019-12-01,21857
ProductA,2020-01-01,9078
ProductA,2020-02-01,22549
ProductA,2020-03-01,25718
ProductA,2020-04-01,32206
ProductA,2020-05-01,32967
ProductA,2020-06-01,45529
ProductA,2020-07-01,32841
ProductA,2020-08-01,22472
ProductA,2020-09-01,23712
ProductA,2020-10-01,22037
ProductA,2020-11-01,34186
ProductA,2020-12-01,31094
ProductA,2021-01-01,21222
ProductA,2021-02-01,22720
ProductA,2021-03-01,26973
ProductA,2021-04-01,24975
ProductA,2021-05-01,24933
ProductA,2021-06-01,39105
ProductA,2021-07-01,31833
ProductA,2021-08-01,22090
ProductA,2021-09-01,21317
ProductA,2021-10-01,25719
ProductA,2021-11-01,37401
ProductA,2021-12-01,27960
ProductA,2022-01-01,13868
ProductA,2022-02-01,14770
ProductA,2022-03-01,14141
ProductA,2022-04-01,15896
ProductA,2022-05-01,19043
ProductA,2022-06-01,29749
ProductA,2022-07-01,13204
ProductA,2022-08-01,14020
ProductA,2022-09-01,9000
ProductA,2022-10-01,10995
ProductA,2022-11-01,15192
ProductA,2022-12-01,19347
ProductA,2023-01-01,10925
