Product,Month,Sales
ProductC,2019-12-01,12586
ProductC,2020-01-01,18965
ProductC,2020-02-01,20313
ProductC,2020-03-01,10978
ProductC,2020-04-01,30933
ProductC,2020-05-01,58457
ProductC,2020-06-01,54266
ProductC,2020-07-01,48127
ProductC,2020-08-01,34763
ProductC,2020-09-01,18068
ProductC,2020-10-01,11768
ProductC,2020-11-01,17480
ProductC,2020-12-01,16984
ProductC,2021-01-01,14588
ProductC,2021-02-01,13619
ProductC,2021-03-01,19821
ProductC,2021-04-01,28891
ProductC,2021-05-01,31504
ProductC,2021-06-01,46536
ProductC,2021-07-01,35328
ProductC,2021-08-01,22974
ProductC,2021-09-01,15042
ProductC,2021-10-01,10111
ProductC,2021-11-01,10057
ProductC,2021-12-01,9463
ProductC,2022-01-01,10381
ProductC,2022-02-01,10091
ProductC,2022-03-01,12347
ProductC,2022-04-01,18269
ProductC,2022-05-01,21280
ProductC,2022-06-01,31960
ProductC,2022-07-01,30079
ProductC,2022-08-01,20181
ProductC,2022-09-01,7674
ProductC,2022-10-01,7582
ProductC,2022-11-01,5985
ProductC,2022-12-01,5489
ProductC,2023-01-01,5290
