Month,Product,Sales,year,month,month_sin,month_cos,sales_lag_1,sales_lag_2,sales_lag_3,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,ewm_alpha_0.3,ewm_alpha_0.5,seasonal,seasonal_Product
2019-03-01,ProductA,608,2019,3,1.0,6.123233995736766e-17,,,,,,,,608.0,608.0,-1686.3570601851836,-1686.3570601851836
2019-04-01,ProductA,6838,2019,4,0.8660254037844387,-0.4999999999999998,608.0,,,,,,,4272.705882352941,4761.333333333333,615.3096064814831,615.3096064814831
2019-05-01,ProductA,12195,2019,5,0.49999999999999994,-0.8660254037844387,6838.0,608.0,,6547.0,5798.978616963508,,,7890.191780821918,9009.142857142857,2057.087384259259,2057.087384259259
2019-06-01,ProductA,26292,2019,6,1.2246467991473532e-16,-1.0,12195.0,6838.0,608.0,15108.333333333334,10048.888611848244,,,15155.019344650611,18226.666666666668,14626.33738425926,14626.33738425926
2019-07-01,ProductA,31547,2019,7,-0.4999999999999997,-0.8660254037844388,26292.0,12195.0,6838.0,23344.666666666668,10007.000366410173,,,21066.086617864483,25101.677419354837,2467.2123842592587,2467.2123842592587
2019-08-01,ProductA,29223,2019,8,-0.8660254037844385,-0.5000000000000004,31547.0,26292.0,12195.0,29020.666666666668,2633.3363502092425,17783.833333333332,12951.631301371526,23839.44326917519,27195.04761904762,-5142.252893518523,-5142.252893518523
2019-09-01,ProductA,17732,2019,9,-1.0,-1.8369701987210297e-16,29223.0,31547.0,26292.0,26167.333333333332,7397.052138070499,20637.833333333332,9948.319524757268,21842.776166880092,22426.267716535433,-3370.64872685185,-3370.64872685185
2019-10-01,ProductA,18103,2019,10,-0.8660254037844386,0.5000000000000001,17732.0,29223.0,31547.0,21686.0,6529.868834823559,22515.333333333332,7611.639105124906,20652.209518780768,20256.156862745098,-2651.745949074074,-2651.745949074074
2019-11-01,ProductA,19108,2019,11,-0.5000000000000004,0.8660254037844384,18103.0,17732.0,29223.0,18314.333333333332,711.9271966523819,23667.5,6112.625646970377,20169.466230197148,19680.954990215265,5406.004050925925,5406.004050925925
2019-12-01,ProductA,21857,2019,12,-2.4492935982947064e-16,1.0,19108.0,18103.0,17732.0,19689.333333333332,1943.345140044177,22928.333333333332,5998.877683922775,20690.44265568941,20770.041055718477,2001.54571759259,2001.54571759259
2020-01-01,ProductA,9078,2020,1,0.49999999999999994,0.8660254037844387,21857.0,19108.0,18103.0,16681.0,6726.325668595002,19183.5,6532.0796917980115,17136.43552555022,14921.164631167563,-10039.370949074073,-10039.370949074073
2020-02-01,ProductA,22549,2020,2,0.8660254037844386,0.5000000000000001,9078.0,21857.0,19108.0,17828.0,7585.617377643035,18071.166666666668,4826.005446191153,18782.995375664217,18736.013675213675,-4283.120949074074,-4283.120949074074
2020-03-01,ProductA,25718,2020,3,1.0,6.123233995736766e-17,22549.0,9078.0,21857.0,19115.0,8835.534335850889,19402.166666666668,5730.293235661389,20883.851752500846,22227.43303625931,-1686.3570601851836,-1686.3570601851836
2020-04-01,ProductA,32206,2020,4,0.8660254037844387,-0.4999999999999998,25718.0,22549.0,9078.0,26824.333333333332,4922.64078857409,21752.666666666668,7658.75336243874,24303.690361249322,27217.02105841421,615.3096064814831,615.3096064814831
2020-05-01,ProductA,32967,2020,5,0.49999999999999994,-0.8660254037844387,32206.0,25718.0,22549.0,30297.0,3983.7433401262197,24062.5,8718.228552865545,26915.080990513445,30092.098269600512,2057.087384259259,2057.087384259259
2020-06-01,ProductA,45529,2020,6,1.2246467991473532e-16,-1.0,32967.0,32206.0,25718.0,36900.666666666664,7482.037311677439,28007.833333333332,12186.796189592518,32517.876424524828,37810.666910811015,14626.33738425926,14626.33738425926
2020-07-01,ProductA,32841,2020,7,-0.4999999999999997,-0.8660254037844388,45529.0,32967.0,32206.0,37112.333333333336,7289.319401242709,31968.333333333332,7918.302284370477,32615.03952819485,35325.8144974861,2467.2123842592587,2467.2123842592587
2020-08-01,ProductA,22472,2020,8,-0.8660254037844385,-0.5000000000000004,32841.0,45529.0,32967.0,33614.0,11547.920115761108,31955.5,7936.662692845151,29567.164468544528,28898.882731944017,-5142.252893518523,-5142.252893518523
2020-09-01,ProductA,23712,2020,9,-1.0,-1.8369701987210297e-16,22472.0,32841.0,45529.0,26341.666666666668,5662.63192635133,31621.166666666668,8286.510566376339,27808.610570825378,26305.436419365727,-3370.64872685185,-3370.64872685185
2020-10-01,ProductA,22037,2020,10,-0.8660254037844386,0.5000000000000001,23712.0,22472.0,32841.0,22740.333333333332,869.1422975171384,29926.333333333332,9139.045325780295,26075.74470663283,24171.216174331832,-2651.745949074074,-2651.745949074074
2020-11-01,ProductA,34186,2020,11,-0.5000000000000004,0.8660254037844384,22037.0,23712.0,22472.0,26645.0,6584.179295857612,30129.5,9233.2247183744,28510.181038987794,29178.610474877583,5406.004050925925,5406.004050925925
2020-12-01,ProductA,31094,2020,12,-2.4492935982947064e-16,1.0,34186.0,22037.0,23712.0,29105.666666666668,6313.846080902936,27723.666666666668,5573.502477497129,29285.62991392479,30136.30546577107,2001.54571759259,2001.54571759259
2021-01-01,ProductA,21222,2021,1,0.49999999999999994,0.8660254037844387,31094.0,34186.0,22037.0,28834.0,6771.043051111108,25787.166666666668,5457.179213354333,26865.878684147014,25679.15220155146,-10039.370949074073,-10039.370949074073
2021-02-01,ProductA,22720,2021,2,0.8660254037844386,0.5000000000000001,21222.0,31094.0,34186.0,25012.0,5320.154509034491,25828.5,5427.908538286174,25621.876751480806,24199.576012586116,-4283.120949074074,-4283.120949074074
2021-03-01,ProductA,26973,2021,3,1.0,6.123233995736766e-17,22720.0,21222.0,31094.0,23638.333333333332,2983.454764754002,26372.0,5336.0830203436635,26027.268091797083,25586.2880476203,-1686.3570601851836,-1686.3570601851836
2021-04-01,ProductA,24975,2021,4,0.8660254037844387,-0.4999999999999998,26973.0,22720.0,21222.0,24889.333333333332,2127.7937713353144,26861.666666666668,4981.759796163062,25711.558027037707,25280.6440192557,615.3096064814831,615.3096064814831
2021-05-01,ProductA,24933,2021,5,0.49999999999999994,-0.8660254037844387,24975.0,26973.0,22720.0,25627.0,1165.859339714714,25319.5,3461.0368822074033,25477.9752696516,25106.822008332772,2057.087384259259,2057.087384259259
2021-06-01,ProductA,39105,2021,6,1.2246467991473532e-16,-1.0,24933.0,24975.0,26973.0,29671.0,8170.110647965548,26654.666666666668,6417.055731927738,29566.27074484372,32105.911030240026,14626.33738425926,14626.33738425926
2021-07-01,ProductA,31833,2021,7,-0.4999999999999997,-0.8660254037844388,39105.0,24933.0,24975.0,31957.0,7086.813670472791,28423.166666666668,6073.363760443356,30246.311418059384,31969.455514865844,2467.2123842592587,2467.2123842592587
2021-08-01,ProductA,22090,2021,8,-0.8660254037844385,-0.5000000000000004,31833.0,39105.0,24933.0,31009.333333333332,8537.35183375579,28318.166666666668,6195.893427639525,27799.362840034893,27029.72775283244,-5142.252893518523,-5142.252893518523
2021-09-01,ProductA,21317,2021,9,-1.0,-1.8369701987210297e-16,22090.0,31833.0,39105.0,25080.0,5861.027128413587,27375.5,6838.4298709572195,25854.623304822115,24173.363875086125,-3370.64872685185,-3370.64872685185
2021-10-01,ProductA,25719,2021,10,-0.8660254037844386,0.5000000000000001,21317.0,22090.0,31833.0,23042.0,2350.346570189174,27499.5,6792.789581607838,25813.935864012125,24946.181937723,-2651.745949074074,-2651.745949074074
2021-11-01,ProductA,37401,2021,11,-0.5000000000000004,0.8660254037844384,25719.0,21317.0,22090.0,28145.666666666668,8312.057346610005,29577.5,7697.457080101195,29290.08197887227,31173.590969586465,5406.004050925925,5406.004050925925
2021-12-01,ProductA,27960,2021,12,-2.4492935982947064e-16,1.0,37401.0,25719.0,21317.0,30360.0,6199.780721928801,27720.0,6122.016661199151,28891.05522579926,29566.795484699705,2001.54571759259,2001.54571759259
2022-01-01,ProductA,13868,2022,1,0.49999999999999994,0.8660254037844387,27960.0,37401.0,25719.0,26409.666666666668,11842.853217587954,24725.833333333332,7855.779666377272,24384.1215849524,21717.397742121404,-10039.370949074073,-10039.370949074073
2022-02-01,ProductA,14770,2022,2,0.8660254037844386,0.5000000000000001,13868.0,27960.0,37401.0,18866.0,7888.537760573883,23505.833333333332,8852.197137810848,21499.877461227574,18243.698871010154,-4283.120949074074,-4283.120949074074
2022-03-01,ProductA,14141,2022,3,1.0,6.123233995736766e-17,14770.0,13868.0,27960.0,14259.666666666666,462.5606266570342,22309.833333333332,9655.398353598186,19292.2101249616,16192.34943549015,-1686.3570601851836,-1686.3570601851836
2022-04-01,ProductA,15896,2022,4,0.8660254037844387,-0.4999999999999998,14141.0,14770.0,13868.0,14935.666666666666,889.1514681612738,20672.666666666668,9793.53398251451,18273.34576361363,16044.174717744536,615.3096064814831,615.3096064814831
2022-05-01,ProductA,19043,2022,5,0.49999999999999994,-0.8660254037844387,15896.0,14141.0,14770.0,16360.0,2483.7216027566406,17613.0,5407.695553560663,18504.242244539975,17543.587358874996,2057.087384259259,2057.087384259259
2022-06-01,ProductA,29749,2022,6,1.2246467991473532e-16,-1.0,19043.0,15896.0,14141.0,21562.666666666668,7262.089391720082,17911.166666666668,6097.614662035183,21877.671718975005,23646.29367944305,14626.33738425926,14626.33738425926
2022-07-01,ProductA,13204,2022,7,-0.4999999999999997,-0.8660254037844388,29749.0,19043.0,15896.0,20665.333333333332,8390.961228210588,17800.5,6190.981529612228,19275.569043586744,18425.14683971915,2467.2123842592587,2467.2123842592587
2022-08-01,ProductA,14020,2022,8,-0.8660254037844385,-0.5000000000000004,13204.0,29749.0,19043.0,18991.0,9325.630648915921,17675.5,6271.45535741105,17698.897838631114,16222.573419859074,-5142.252893518523,-5142.252893518523
2022-09-01,ProductA,9000,2022,9,-1.0,-1.8369701987210297e-16,14020.0,13204.0,29749.0,12074.666666666666,2693.8161283453132,16818.666666666668,7141.741963041399,15089.22791713831,12611.286709929125,-3370.64872685185,-3370.64872685185
2022-10-01,ProductA,10995,2022,10,-0.8660254037844386,0.5000000000000001,9000.0,14020.0,13204.0,11338.333333333334,2527.5498676254306,16001.833333333334,7537.676974152342,13860.95935423508,11803.143354964517,-2651.745949074074,-2651.745949074074
2022-11-01,ProductA,15192,2022,11,-0.5000000000000004,0.8660254037844384,10995.0,9000.0,14020.0,11729.0,3160.582699440089,15360.0,7389.429017183921,14260.271590693723,13497.571677482307,5406.004050925925,5406.004050925925
2022-12-01,ProductA,19347,2022,12,-2.4492935982947064e-16,1.0,15192.0,10995.0,9000.0,15178.0,4176.0176005376225,13626.333333333334,3573.1653567483204,15786.290227791778,16422.285838741194,2001.54571759259,2001.54571759259
2023-01-01,ProductA,10925,2023,1,0.49999999999999994,0.8660254037844387,19347.0,15192.0,10995.0,15154.666666666666,4211.124117540747,13246.5,3744.081983610893,14327.903082986071,13673.642919370577,-10039.370949074073,-10039.370949074073
