Month,Product,Sales,year,month,month_sin,month_cos,seasonal,seasonal_Product
2019-12-01,ProductC,12586,2019,12,-2.4492935982947064e-16,1.0,-8165.010995370369,-8165.010995370369
2020-01-01,ProductC,18965,2020,1,0.49999999999999994,0.8660254037844387,-8063.302662037035,-8063.302662037035
2020-02-01,ProductC,20313,2020,2,0.8660254037844386,0.5000000000000001,-8013.010995370369,-8013.010995370369
2020-03-01,ProductC,10978,2020,3,1.0,6.123233995736766e-17,-3263.6776620370347,-3263.6776620370347
2020-04-01,ProductC,30933,2020,4,0.8660254037844387,-0.4999999999999998,4536.072337962964,4536.072337962964
2020-05-01,ProductC,58457,2020,5,0.49999999999999994,-0.8660254037844387,7674.759837962964,7674.759837962964
2020-06-01,ProductC,54266,2020,6,1.2246467991473532e-16,-1.0,22782.29456018518,22782.29456018518
2020-07-01,ProductC,48127,2020,7,-0.4999999999999997,-0.8660254037844388,16661.461226851854,16661.461226851854
2020-08-01,ProductC,34763,2020,8,-0.8660254037844385,-0.5000000000000004,4782.655671296297,4782.655671296297
2020-09-01,ProductC,18068,2020,9,-1.0,-1.8369701987210297e-16,-7346.406828703704,-7346.406828703704
2020-10-01,ProductC,11768,2020,10,-0.8660254037844386,0.5000000000000001,-12726.594328703708,-12726.594328703708
2020-11-01,ProductC,17480,2020,11,-0.5000000000000004,0.8660254037844384,-8859.240162037038,-8859.240162037038
2020-12-01,ProductC,16984,2020,12,-2.4492935982947064e-16,1.0,-8165.010995370369,-8165.010995370369
2021-01-01,ProductC,14588,2021,1,0.49999999999999994,0.8660254037844387,-8063.302662037035,-8063.302662037035
2021-02-01,ProductC,13619,2021,2,0.8660254037844386,0.5000000000000001,-8013.010995370369,-8013.010995370369
2021-03-01,ProductC,19821,2021,3,1.0,6.123233995736766e-17,-3263.6776620370347,-3263.6776620370347
2021-04-01,ProductC,28891,2021,4,0.8660254037844387,-0.4999999999999998,4536.072337962964,4536.072337962964
2021-05-01,ProductC,31504,2021,5,0.49999999999999994,-0.8660254037844387,7674.759837962964,7674.759837962964
2021-06-01,ProductC,46536,2021,6,1.2246467991473532e-16,-1.0,22782.29456018518,22782.29456018518
2021-07-01,ProductC,35328,2021,7,-0.4999999999999997,-0.8660254037844388,16661.461226851854,16661.461226851854
2021-08-01,ProductC,22974,2021,8,-0.8660254037844385,-0.5000000000000004,4782.655671296297,4782.655671296297
2021-09-01,ProductC,15042,2021,9,-1.0,-1.8369701987210297e-16,-7346.406828703704,-7346.406828703704
2021-10-01,ProductC,10111,2021,10,-0.8660254037844386,0.5000000000000001,-12726.594328703708,-12726.594328703708
2021-11-01,ProductC,10057,2021,11,-0.5000000000000004,0.8660254037844384,-8859.240162037038,-8859.240162037038
2021-12-01,ProductC,9463,2021,12,-2.4492935982947064e-16,1.0,-8165.010995370369,-8165.010995370369
2022-01-01,ProductC,10381,2022,1,0.49999999999999994,0.8660254037844387,-8063.302662037035,-8063.302662037035
2022-02-01,ProductC,10091,2022,2,0.8660254037844386,0.5000000000000001,-8013.010995370369,-8013.010995370369
2022-03-01,ProductC,12347,2022,3,1.0,6.123233995736766e-17,-3263.6776620370347,-3263.6776620370347
2022-04-01,ProductC,18269,2022,4,0.8660254037844387,-0.4999999999999998,4536.072337962964,4536.072337962964
2022-05-01,ProductC,21280,2022,5,0.49999999999999994,-0.8660254037844387,7674.759837962964,7674.759837962964
2022-06-01,ProductC,31960,2022,6,1.2246467991473532e-16,-1.0,22782.29456018518,22782.29456018518
2022-07-01,ProductC,30079,2022,7,-0.4999999999999997,-0.8660254037844388,16661.461226851854,16661.461226851854
2022-08-01,ProductC,20181,2022,8,-0.8660254037844385,-0.5000000000000004,4782.655671296297,4782.655671296297
2022-09-01,ProductC,7674,2022,9,-1.0,-1.8369701987210297e-16,-7346.406828703704,-7346.406828703704
2022-10-01,ProductC,7582,2022,10,-0.8660254037844386,0.5000000000000001,-12726.594328703708,-12726.594328703708
2022-11-01,ProductC,5985,2022,11,-0.5000000000000004,0.8660254037844384,-8859.240162037038,-8859.240162037038
2022-12-01,ProductC,5489,2022,12,-2.4492935982947064e-16,1.0,-8165.010995370369,-8165.010995370369
2023-01-01,ProductC,5290,2023,1,0.49999999999999994,0.8660254037844387,-8063.302662037035,-8063.302662037035
